track_name,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,british orchestra,0.475,0.13,7.0,-17.719,1.0,0.051,0.916,0.101,0.122,112.241,150827.0,7.0
#BrooklynBloodPop!,SyKo,glitchcore,0.691,0.814,1.0,-3.788,0.0,0.117,0.0164,0.366,0.509,132.012,145611.0,1.0
$10,Good Morning,experimental pop,0.624,0.596,4.0,-9.804,1.0,0.0314,0.475,0.119,0.896,120.969,89509.0,4.0
(I Just) Died In Your Arms,Cutting Crew,album rock,0.625,0.726,11.0,-11.402,0.0,0.0444,0.0158,0.0625,0.507,124.945,280400.0,11.0
(L)only Child,salem ilese,alt z,0.645,0.611,8.0,-5.925,0.0,0.137,0.29,0.237,0.645,157.475,144468.0,8.0
(lol),Eren Cannata,guitar case,0.663,0.904,7.0,-4.71,1.0,0.0857,0.000708,0.341,0.675,118.024,217627.0,7.0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,cloud rap,0.792,0.511,2.0,-6.876,1.0,0.0409,0.124,0.14,0.111,113.983,168490.0,2.0
...Baby One More Time,Britney Spears,dance pop,0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.443,0.907,92.96,211067.0,0.0
0 to 100,Sidhu Moose Wala,desi hip hop,0.742,0.675,8.0,-6.551,1.0,0.0907,0.139,0.167,0.679,145.989,108493.0,8.0
01:22,colours in the dark,lo-fi sleep,0.62,0.122,2.0,-19.47,0.0,0.0428,0.967,0.0726,0.0502,72.019,129160.0,2.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.111,0.43,89.991,167693.0,10.0
11:23,mj apanay,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.0733,0.899,0.125,0.585,123.535,58018.0,8.0
12 Hours,Chris James,singer-songwriter pop,0.83,0.414,3.0,-7.387,1.0,0.148,0.497,0.187,0.797,87.99,133125.0,3.0
12:45 - Stripped,Etham,singer-songwriter pop,0.459,0.214,5.0,-10.66,1.0,0.0403,0.634,0.125,0.397,163.816,179013.0,5.0
13 Missed Calls,Zach Hood,alt z,0.639,0.724,7.0,-6.346,1.0,0.0664,0.452,0.159,0.522,129.712,209538.0,7.0
143,Josh Golden,la pop,0.652,0.713,6.0,-8.331,0.0,0.105,0.413,0.265,0.692,156.031,187885.0,6.0
17 (slowed + reverb),Shiloh Dynasty,lo-fi chill,0.78,0.24,11.0,-12.996,1.0,0.0711,0.373,0.452,0.171,140.502,209493.0,11.0
18,Jeremy Zucker,alt z,0.783,0.599,4.0,-5.688,1.0,0.0441,0.0445,0.108,0.611,113.97,150773.0,4.0
1917,Thomas Newman,orchestral soundtrack,0.0814,0.0155,7.0,-33.085,0.0,0.044,0.945,0.0923,0.0899,171.075,77413.0,7.0
1984,glaive,glitchcore,0.665,0.746,9.0,-2.98,1.0,0.044,0.0125,0.148,0.426,134.999,150222.0,9.0
1985,Bo Burnham,comic,0.646,0.724,4.0,-7.466,0.0,0.0475,0.0432,0.333,0.894,155.85,146654.0,4.0
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,alternative metal,0.471,0.927,1.0,-5.76,1.0,0.0495,0.00272,0.115,0.232,96.149,346040.0,1.0
2009,glaive,glitchcore,0.473,0.849,5.0,-2.434,0.0,0.052,0.26,0.103,0.61,79.538,110339.0,5.0
2019,Bazanji,deep underground hip hop,0.596,0.881,11.0,-5.228,0.0,0.119,0.153,0.16,0.302,147.038,112245.0,11.0
2021,Lauv,pop,0.849,0.489,0.0,-7.433,1.0,0.0509,0.683,0.108,0.345,113.977,195952.0,0.0
2055,Sleepy Hallow,brooklyn drill,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.12,0.638,80.511,123987.0,6.0
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,classical,0.32,0.127,7.0,-15.953,0.0,0.0366,0.929,0.25,0.272,144.451,135773.0,7.0
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,american orchestra,0.227,0.0666,7.0,-21.772,0.0,0.0403,0.831,0.083,0.256,82.568,173853.0,7.0
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,classical,0.358,0.167,7.0,-16.0,0.0,0.0354,0.899,0.103,0.601,144.561,138707.0,7.0
22,Taylor Swift,pop,0.642,0.695,7.0,-5.62,1.0,0.0281,0.000443,0.0753,0.642,103.984,230960.0,7.0
24 Hours,Alexander Stewart,singer-songwriter pop,0.512,0.748,10.0,-7.338,1.0,0.0376,0.0908,0.204,0.338,143.999,198333.0,10.0
24/7,The Neighbourhood,modern alternative rock,0.587,0.744,7.0,-4.611,0.0,0.0742,0.00213,0.114,0.236,118.962,219973.0,7.0
26,Lauv,pop,0.643,0.458,6.0,-8.636,1.0,0.0875,0.809,0.237,0.506,164.16,159608.0,6.0
27,Loving Caliber,scandipop,0.612,0.362,0.0,-7.85,1.0,0.0307,0.686,0.111,0.459,140.043,211361.0,0.0
27 Reasons,WILLIS,alabama indie,0.522,0.624,11.0,-8.359,0.0,0.0323,0.157,0.253,0.352,130.477,208760.0,11.0
29,Chris James,singer-songwriter pop,0.777,0.597,4.0,-5.125,1.0,0.0496,0.51,0.107,0.9,133.854,138281.0,4.0
29,Run River North,stomp and holler,0.439,0.903,7.0,-4.655,0.0,0.0692,0.000268,0.249,0.275,156.974,207120.0,7.0
2AM,SZA,pop,0.504,0.267,9.0,-13.678,0.0,0.406,0.438,0.141,0.392,83.966,242823.0,9.0
2chijou,Hiroyuki Sawano,anime score,0.479,0.476,5.0,-12.218,1.0,0.0511,0.134,0.094,0.274,120.099,407573.0,5.0
2step,Ed Sheeran,pop,0.763,0.661,4.0,-5.592,0.0,0.056,0.169,0.117,0.632,95.002,153627.0,4.0
2step (feat. Armaan Malik),Ed Sheeran,pop,0.747,0.667,4.0,-5.181,0.0,0.0566,0.18,0.146,0.508,95.0,153124.0,4.0
2step (feat. Lil Baby),Ed Sheeran,pop,0.693,0.643,4.0,-5.867,0.0,0.0828,0.138,0.108,0.477,95.055,163450.0,4.0
2z Don Corleon,Lil 2z,dfw rap,0.847,0.444,8.0,-10.167,0.0,0.492,0.336,0.0996,0.667,115.042,117943.0,8.0
3 Peg,Sharry Mann,punjabi pop,0.69,0.926,0.0,-0.223,0.0,0.253,0.14,0.112,0.791,167.927,204396.0,0.0
"3,000 Miles From Home.",Ben Zaidi,folk-pop,0.713,0.418,2.0,-9.035,1.0,0.0519,0.5,0.119,0.527,84.041,158507.0,2.0
"30,000 Feet",Ben Rector,acoustic pop,0.555,0.452,0.0,-9.636,1.0,0.0554,0.694,0.0595,0.321,179.921,256933.0,0.0
3005,Childish Gambino,atl hip hop,0.664,0.447,6.0,-7.272,0.0,0.289,0.112,0.091,0.659,83.138,234215.0,6.0
3:15,Bazzi,pop,0.651,0.654,1.0,-5.481,1.0,0.0466,0.385,0.181,0.539,141.975,167019.0,1.0
4am,girl in red,alt z,0.418,0.392,9.0,-13.771,1.0,0.0383,0.663,0.204,0.295,168.902,110862.0,9.0
4u,blackbear,pop,0.776,0.513,5.0,-6.757,1.0,0.0872,0.392,0.0642,0.813,153.934,158571.0,5.0
5 Taara,Diljit Dosanjh,filmi,0.687,0.855,4.0,-2.837,0.0,0.109,0.13,0.311,0.659,167.947,178421.0,4.0
5 dollars,Christine and the Queens,art pop,0.726,0.654,2.0,-6.201,1.0,0.0423,0.424,0.0668,0.624,129.013,208293.0,2.0
52-Hearts,Hikaru Station,japanese vgm,0.285,0.803,1.0,-6.128,1.0,0.158,0.714,0.0495,0.182,95.806,316800.0,1.0
5am in cairo,"oh, the joy.",sleep,0.751,0.193,3.0,-15.902,1.0,0.0449,0.936,0.11,0.219,113.987,177288.0,3.0
6 Underground,Sneaker Pimps,electronica,0.587,0.687,1.0,-8.635,0.0,0.0509,0.0281,0.121,0.402,169.938,228840.0,1.0
608,Carlie Hanson,alt z,0.614,0.511,11.0,-8.758,0.0,0.0294,0.673,0.339,0.486,148.024,204760.0,11.0
6AM,Fly By Midnight,singer-songwriter pop,0.637,0.885,5.0,-4.522,1.0,0.0274,0.0318,0.107,0.613,127.027,190912.0,5.0
7 Minutes,Dean Lewis,australian pop,0.613,0.739,10.0,-6.478,1.0,0.0311,0.526,0.149,0.712,104.966,211453.0,10.0
7 Years,Lukas Graham,danish pop,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.391,0.34,119.992,237300.0,10.0
772 Love,YNW Melly,melodic rap,0.676,0.623,6.0,-7.297,0.0,0.0352,0.226,0.159,0.347,111.466,209489.0,6.0
7UP,Boy In Space,alt z,0.618,0.47,0.0,-7.379,1.0,0.0271,0.0169,0.111,0.228,135.034,203555.0,0.0
8 Letters,Why Don't We,boy band,0.607,0.478,1.0,-5.702,0.0,0.031,0.649,0.0928,0.255,88.979,190027.0,1.0
85%,Loote,alt z,0.574,0.651,7.0,-7.585,1.0,0.046,0.346,0.149,0.368,140.017,174107.0,7.0
9 to 5,Young Ejecta,solipsynthm,0.659,0.834,8.0,-5.715,1.0,0.0387,0.232,0.236,0.607,116.048,219258.0,8.0
90210 (feat. G-Eazy),blackbear,pop,0.707,0.707,11.0,-6.161,0.0,0.0375,0.0306,0.127,0.231,104.039,223296.0,11.0
911,Ellise,alt z,0.765,0.53,10.0,-7.18,0.0,0.0833,0.509,0.117,0.529,130.104,188387.0,10.0
:( (sad face),Bahari,alt z,0.661,0.552,8.0,-8.015,0.0,0.0278,0.242,0.0953,0.408,110.072,188182.0,8.0
@ my worst,blackbear,pop,0.615,0.774,4.0,-5.152,0.0,0.0551,0.0173,0.15,0.336,136.887,191364.0,4.0
A Better Place,Project AER,ambient guitar,0.496,0.255,9.0,-17.984,1.0,0.0283,0.937,0.0909,0.0809,141.961,120000.0,9.0
A Dangerous Thing,AURORA,art pop,0.541,0.556,11.0,-6.15,0.0,0.0356,0.465,0.116,0.106,105.886,215573.0,11.0
A Different Way (with Lauv),DJ Snake,edm,0.784,0.757,8.0,-3.912,1.0,0.0384,0.495,0.142,0.587,104.996,198286.0,8.0
A Drug From God,Chris Lake,bass house,0.714,0.883,9.0,-4.43,1.0,0.0625,0.00819,0.231,0.819,126.016,192455.0,9.0
A Gift Of A Thistle,James Horner,orchestral soundtrack,0.0828,0.012,9.0,-36.045,0.0,0.0451,0.9,0.0875,0.0578,169.895,97667.0,9.0
A Little Bit Yours,JP Saxe,alt z,0.598,0.295,1.0,-8.553,1.0,0.0276,0.735,0.107,0.314,87.025,225680.0,1.0
A Little More,Catie Turner,alt z,0.792,0.484,4.0,-9.897,1.0,0.192,0.477,0.106,0.245,96.939,224528.0,4.0
A Little Piece of Heaven,Avenged Sevenfold,alternative metal,0.486,0.881,2.0,-5.623,0.0,0.0474,0.0244,0.429,0.667,144.997,480707.0,2.0
A Million Dreams,Ziv Zaifman,show tunes,0.265,0.312,7.0,-11.689,1.0,0.0569,0.243,0.0893,0.0998,54.747,269453.0,7.0
A Million Dreams (Reprise),Austyn Johnson,show tunes,0.253,0.139,6.0,-17.067,1.0,0.0414,0.726,0.269,0.102,74.369,60453.0,6.0
A Moment Apart,ODESZA,chillwave,0.515,0.663,7.0,-7.896,0.0,0.0328,0.179,0.494,0.0756,120.024,234244.0,7.0
