track_name,artist_name,total_streams,daily_streams
Blinding Lights,The Weeknd,4560739811.0,1912741.0
Shape of You,Ed Sheeran,4096124219.0,1615655.0
Someone You Loved,Lewis Capaldi,3671556765.0,1475856.0
As It Was,Harry Styles,3631721146.0,1533219.0
Sunflower,Post Malone,3595013796.0,1461811.0
Starboy,The Weeknd,3580694846.0,1852199.0
One Dance,Drake,3415975103.0,1335061.0
Sweater Weather,The Neighbourhood,3347042932.0,2882322.0
STAY,The Kid LAROI,3345710525.0,1582934.0
Believer,Imagine Dragons,3213199682.0,1338922.0
Heat Waves,Glass Animals,3195906516.0,1085484.0
Dance Monkey,Tones And I,3169349337.0,527167.0
Perfect,Ed Sheeran,3168684265.0,1609314.0
rockstar,Post Malone,3064042420.0,646916.0
lovely,Billie Eilish,3061154453.0,1516510.0
Say You Won't Let Go,James Arthur,3058174953.0,1706170.0
Closer,The Chainsmokers,3035844020.0,1312190.0
Watermelon Sugar,Harry Styles,2876387214.0,726734.0
Something Just Like This,The Chainsmokers,2867857369.0,1718494.0
Señorita,Shawn Mendes,2864800585.0,809308.0
Riptide,Vance Joy,2814684551.0,2278425.0
Take Me to Church,Hozier,2771677714.0,1548358.0
Don't Start Now,Dua Lipa,2771380725.0,757455.0
Another Love,Tom Odell,2741339041.0,1983132.0
Counting Stars,OneRepublic,2694313833.0,1567082.0
Photograph,Ed Sheeran,2692224402.0,1475141.0
Lucid Dreams,Juice WRLD,2674895374.0,1023606.0
Circles,Post Malone,2644780821.0,1047586.0
God's Plan,Drake,2639302926.0,761837.0
Bohemian Rhapsody,Queen,2630243429.0,861195.0
Yellow,Coldplay,2626921740.0,2635718.0
bad guy,Billie Eilish,2618240163.0,654996.0
Can't Hold Us,Macklemore,2615995404.0,1377344.0
Thinking out Loud,Ed Sheeran,2612763470.0,993290.0
goosebumps,Travis Scott,2609065796.0,1527247.0
I Wanna Be Yours,Arctic Monkeys,2600539866.0,2885563.0
Cruel Summer,Taylor Swift,2596798997.0,2083847.0
Shallow,Lady Gaga,2594372766.0,951078.0
Love Yourself,Justin Bieber,2581807076.0,1147713.0
Thunder,Imagine Dragons,2551565101.0,1044875.0
The Night We Met,Lord Huron,2530389065.0,3162572.0
All of Me,John Legend,2526221573.0,1025845.0
Die For You,The Weeknd,2512821994.0,1639108.0
Wake Me Up,Avicii,2502462571.0,1018833.0
Demons,Imagine Dragons,2480569277.0,1245723.0
The Hills,The Weeknd,2470349124.0,1075318.0
Stressed Out,Twenty One Pilots,2468432998.0,897181.0
Viva La Vida,Coldplay,2413289601.0,1530579.0
No Role Modelz,J. Cole,2404126699.0,1048700.0
HUMBLE.,Kendrick Lamar,2394660376.0,987906.0
Mr. Brightside,The Killers,2385665382.0,1233322.0
Let Her Go,Passenger,2385500178.0,922287.0
7 rings,Ariana Grande,2384654678.0,1004470.0
Without Me,Eminem,2382715178.0,1641830.0
When I Was Your Man,Bruno Mars,2370283079.0,1664963.0
Lose Yourself,Eminem,2365079819.0,1217585.0
Do I Wanna Know?,Arctic Monkeys,2362406829.0,1129311.0
Just the Way You Are,Bruno Mars,2359561066.0,2636437.0
drivers license,Olivia Rodrigo,2324727875.0,974336.0
Treat You Better,Shawn Mendes,2319091479.0,1060600.0
One Kiss,Calvin Harris,2315816317.0,803391.0
