track_name,artist_name,total_streams,daily_streams,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Blinding Lights,The Weeknd,4560739811.0,1912741.0,canadian contemporary r&b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,1.0
Shape of You,Ed Sheeran,4096124219.0,1615655.0,pop,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,1.0
Someone You Loved,Lewis Capaldi,3671556765.0,1475856.0,pop,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,1.0
As It Was,Harry Styles,3631721146.0,1533219.0,pop,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303.0,6.0
Starboy,The Weeknd,3580694846.0,1852199.0,canadian contemporary r&b,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453.0,7.0
One Dance,Drake,3415975103.0,1335061.0,canadian hip hop,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987.0,1.0
Sweater Weather,The Neighbourhood,3347042932.0,2882322.0,modern alternative rock,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400.0,10.0
Heat Waves,Glass Animals,3195906516.0,1085484.0,gauze pop,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,11.0
Say You Won't Let Go,James Arthur,3058174953.0,1706170.0,pop,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,211467.0,10.0
Watermelon Sugar,Harry Styles,2876387214.0,726734.0,pop,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,0.0
Something Just Like This,The Chainsmokers,2867857369.0,1718494.0,electropop,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,11.0
Señorita,Shawn Mendes,2864800585.0,809308.0,canadian pop,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0,9.0
Riptide,Vance Joy,2814684551.0,2278425.0,folk-pop,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,1.0
