Artist/Song,Streams,Daily
The Weeknd - Blinding Lights,"4,560,739,811","1,912,741"
Ed Sheeran - Shape of You,"4,096,124,219","1,615,655"
Lewis Capaldi - Someone You Loved,"3,671,556,765","1,475,856"
Harry Styles - As It Was,"3,631,721,146","1,533,219"
Post Malone - Sunflower,"3,595,013,796","1,461,811"
The Weeknd - Starboy,"3,580,694,846","1,852,199"
Drake - One Dance,"3,415,975,103","1,335,061"
The Neighbourhood - Sweater Weather,"3,347,042,932","2,882,322"
The Kid LAROI - STAY,"3,345,710,525","1,582,934"
Imagine Dragons - Believer,"3,213,199,682","1,338,922"
Glass Animals - Heat Waves,"3,195,906,516","1,085,484"
Tones And I - Dance Monkey,"3,169,349,337","527,167"
Ed Sheeran - Perfect,"3,168,684,265","1,609,314"
Post Malone - rockstar,"3,064,042,420","646,916"
Billie Eilish - lovely,"3,061,154,453","1,516,510"
James Arthur - Say You Won't Let Go,"3,058,174,953","1,706,170"
The Chainsmokers - Closer,"3,035,844,020","1,312,190"
Harry Styles - Watermelon Sugar,"2,876,387,214","726,734"
The Chainsmokers - Something Just Like This,"2,867,857,369","1,718,494"
Shawn Mendes - Señorita,"2,864,800,585","809,308"
Vance Joy - Riptide,"2,814,684,551","2,278,425"
Hozier - Take Me to Church,"2,771,677,714","1,548,358"
Dua Lipa - Don't Start Now,"2,771,380,725","757,455"
Tom Odell - Another Love,"2,741,339,041","1,983,132"
OneRepublic - Counting Stars,"2,694,313,833","1,567,082"
Ed Sheeran - Photograph,"2,692,224,402","1,475,141"
Juice WRLD - Lucid Dreams,"2,674,895,374","1,023,606"
Post Malone - Circles,"2,644,780,821","1,047,586"
Drake - God's Plan,"2,639,302,926","761,837"
Queen - Bohemian Rhapsody,"2,630,243,429","861,195"
Coldplay - Yellow,"2,626,921,740","2,635,718"
Billie Eilish - bad guy,"2,618,240,163","654,996"
Macklemore - Can't Hold Us,"2,615,995,404","1,377,344"
Ed Sheeran - Thinking out Loud,"2,612,763,470","993,290"
Travis Scott - goosebumps,"2,609,065,796","1,527,247"
Arctic Monkeys - I Wanna Be Yours,"2,600,539,866","2,885,563"
Taylor Swift - Cruel Summer,"2,596,798,997","2,083,847"
Lady Gaga - Shallow,"2,594,372,766","951,078"
Justin Bieber - Love Yourself,"2,581,807,076","1,147,713"
Imagine Dragons - Thunder,"2,551,565,101","1,044,875"
Lord Huron - The Night We Met,"2,530,389,065","3,162,572"
John Legend - All of Me,"2,526,221,573","1,025,845"
The Weeknd - Die For You,"2,512,821,994","1,639,108"
Avicii - Wake Me Up,"2,502,462,571","1,018,833"
Imagine Dragons - Demons,"2,480,569,277","1,245,723"
The Weeknd - The Hills,"2,470,349,124","1,075,318"
Twenty One Pilots - Stressed Out,"2,468,432,998","897,181"
Coldplay - Viva La Vida,"2,413,289,601","1,530,579"
J. Cole - No Role Modelz,"2,404,126,699","1,048,700"
Kendrick Lamar - HUMBLE.,"2,394,660,376","987,906"
The Killers - Mr. Brightside,"2,385,665,382","1,233,322"
Passenger - Let Her Go,"2,385,500,178","922,287"
Ariana Grande - 7 rings,"2,384,654,678","1,004,470"
Eminem - Without Me,"2,382,715,178","1,641,830"
Bruno Mars - When I Was Your Man,"2,370,283,079","1,664,963"
Eminem - Lose Yourself,"2,365,079,819","1,217,585"
Arctic Monkeys - Do I Wanna Know?,"2,362,406,829","1,129,311"
Bruno Mars - Just the Way You Are,"2,359,561,066","2,636,437"
Olivia Rodrigo - drivers license,"2,324,727,875","974,336"
Shawn Mendes - Treat You Better,"2,319,091,479","1,060,600"
Calvin Harris - One Kiss,"2,315,816,317","803,391"
Olivia Rodrigo - good 4 u,"2,297,497,513","814,911"
Bruno Mars - That's What I Like,"2,296,532,581","2,854,454"
Linkin Park - In the End,"2,296,311,637","2,289,070"
DJ Snake - Let Me Love You,"2,295,910,333","1,036,537"
XXXTENTACION - SAD!,"2,294,402,081","561,201"
Miley Cyrus - Flowers,"2,291,997,124","1,678,299"
French Montana - Unforgettable,"2,288,895,634","1,176,409"
The Police - Every Breath You Take,"2,284,507,201","1,455,572"
Bruno Mars - Locked out of Heaven,"2,283,798,379","2,801,193"
XXXTENTACION - Jocelyn Flores,"2,278,538,371","648,481"
Marshmello - Happier,"2,268,196,983","878,022"
